"Name","Company","State","City","Salary","Location","Url"
"Software Engineer"," FLIR  We're Hiring","Sweden","Täby","","Täby","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=225834&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6808598f&cb=1535036570898&jobListingId=2808033271"
"Manager, Software Engineering"," BOEING  We're Hiring","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=294074&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_34bed8d0&cb=1535036570899&jobListingId=2796106622"
"Sales Manager Nordic"," Synavos  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=364687&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_db56948b&cb=1535036570900&jobListingId=2828168658"
"Software Development Engineer in Test (SDET)"," Spotify  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=347865&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_18e0eab9&cb=1535036570901&jobListingId=2749174177"
"Software Engineer"," Volvo Group  New","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=124245&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_53940bf3&cb=1535036570902&jobListingId=2757449370"
"Great opportunity for a Junior Software Developer!","  New","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=124245&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_daa5f119&cb=1535036570902&jobListingId=2795476436"
"Software Engineer"," Thermo Fisher Scientific  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=294110&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0f8f1010&cb=1535036570903&jobListingId=2852205888"
"Application Architect / Software Developer"," Amazon  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=295207&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_803f3d68&cb=1535036570904&jobListingId=2883014282"
"Software Engineer"," Elekta  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=355562&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_38d4dedc&cb=1535036570913&jobListingId=2839337325"
"Senior C Developer"," Schneider Electric  ","Sweden","Lund","","Lund","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=321952&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_55c04a33&cb=1535036570914&jobListingId=2816393554"
"Software Engineer"," Google  New","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=191997&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f4f9aca2&cb=1535036570915&jobListingId=2723095326"
"Software Developer"," EMG-Educations Media Group  We're Hiring","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=383476&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_64770536&cb=1535036570916&jobListingId=2729649568"
"Software Project Manager"," Arm Holdings  New","Sweden","Lund","","Lund","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=252347&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7bf669d&cb=1535036570917&jobListingId=2829331668"
"Software Developer"," Tobii Technology  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=124245&s=58&guid=00000165674f3be99aba7d88ee79f43f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4791d068&cb=1535036570917&jobListingId=2780826275"
