"Name","Company","State","City","Salary","Location","Url"
"Senior Software Engineer IPI"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=336265&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f062d66&cb=1535036508992&jobListingId=2857992757"
"Java/JavaScript Software Engineer"," Luxoft  New","Switzerland","Zug","","Zug","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=312636&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5014b91a&cb=1535036508993&jobListingId=2855650127"
"Software Developer - 3D Visualization"," Esri  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=177702&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63924b78&cb=1535036508993&jobListingId=2906664227"
"Software Engineer","  ","Switzerland","St. Gall","","St. Gall","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=112088&s=58&guid=00000165674e4a92b8eb79b97373f223&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_02365828&cb=1535036508994&jobListingId=2885603421"
"Software Engineer","  ","Switzerland","Sursee","","Sursee","https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=112088&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4f04448d&cb=1535036510343&jobListingId=2908506898"
"Embedded Software Engineer"," Sonova  ","Switzerland","Stäfa","","Stäfa","https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=329852&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_41552f0c&cb=1535036510345&jobListingId=2859940585"
"Embedded Software Engineer"," Honeywell  ","Switzerland","Murten","","Murten","https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=288101&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_13021890&cb=1535036510346&jobListingId=2701144820"
"Software Development Engineer II"," Expedia  Award Winner","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=303301&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4752c894&cb=1535036510347&jobListingId=2895063901"
"Software Engineer, Machine Learning"," Facebook  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=282723&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_df699ce3&cb=1535036510348&jobListingId=2702566757"
"Software Entwickler/in 80-100 %"," Siemens PLC  Award Winner","Switzerland","Wallisellen","","Wallisellen","https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=344625&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1b876e9c&cb=1535036510349&jobListingId=2905395101"
"Software Engineer, Calibration"," Facebook  Award Winner","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=282723&s=58&guid=00000165674e4fb4b6b134d9d4de56d3&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1906968d&cb=1535036510350&jobListingId=2900233989"
