Name,Company,State,City,Salary,Location,Url
Front-end Developer, Siteimprove  Hot,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_189bdaec&cb=1535036716457&jobListingId=2678433808
Software Developer, SITA  We're Hiring,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=291562&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_794b2cb0&cb=1535036716458&jobListingId=2852032046
Software Engineer, Google  Award Winner,Denmark,Aarhus,,Aarhus,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=191997&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5d24da41&cb=1535036716459&jobListingId=2759337682
Software Developer, CDK Global  ,Denmark,Vejle,,Vejle,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=49420&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f04bed3f&cb=1535036716460&jobListingId=2884716443
Sr. Software Engineer - Denmark, Roku  ,Denmark,Aarhus,,Aarhus,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=294943&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b738c4ef&cb=1535036716461&jobListingId=2611556250
Partner Marketing Manager, Siteimprove  New,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_24967142&cb=1535036716462&jobListingId=2905139804
Software Engineer, Microsoft  Award Winner,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=37049&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_234e84ef&cb=1535036716463&jobListingId=2844876071
Customer Success Manager - Spanish Speaking, Siteimprove  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8d6d315e&cb=1535036716463&jobListingId=2902821984
Fullstack Developer, Siteimprove  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=297457&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_52193eee&cb=1535036716465&jobListingId=2560214224
Software Tester, MovieStarPlanet  ,Denmark,Copenhagen,,Copenhagen,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=7438&s=58&guid=000001656751745f968ec6a93f5d026f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_19de72a8&cb=1535036716466&jobListingId=2747982542
